,company
1,Japan Airlines Co
2,Japan Airlines Co
0,Kraft Heinz Co
1,Kraft Heinz Co
2,Kraft Heinz Co
0,Nestle India
1,Nestle India
2,Nestle India
0,New China Life Ins H
1,New China Life Ins H
2,New China Life Ins H
0,Swire Properties
1,Swire Properties
2,Swire Properties
0,Haitong Securities Co H
1,Haitong Securities Co H
2,Haitong Securities Co H
0,Textron
1,Textron
2,Textron
0,Gt Capital Holdings
1,Gt Capital Holdings
2,Gt Capital Holdings
0,Partners Group Holding
1,Partners Group Holding
2,Partners Group Holding
0,Grifols
1,Grifols
2,Grifols
0,Thermo Fisher Scientific
1,Thermo Fisher Scientific
2,Thermo Fisher Scientific
0,Thomson Reuters Corp
1,Thomson Reuters Corp
2,Thomson Reuters Corp
0,Splunk
1,Splunk
2,Splunk
0,Servicenow
1,Servicenow
2,Servicenow
0,Palo Alto Networks
1,Palo Alto Networks
2,Palo Alto Networks
0,Thales
1,Thales
2,Thales
0,Abbvie
1,Abbvie
2,Abbvie
0,Sibanye Stillwater
1,Sibanye Stillwater
2,Sibanye Stillwater
0,People's Insurance Co H
1,People's Insurance Co H
2,People's Insurance Co H
0,Santander Bank Polska
1,Santander Bank Polska
2,Santander Bank Polska
0,Coca-cola Hbc Cdi
1,Coca-cola Hbc Cdi
2,Coca-cola Hbc Cdi
0,Bb Seguridade Part On
1,Bb Seguridade Part On
2,Bb Seguridade Part On
0,Intouch Holdings
1,Intouch Holdings
2,Intouch Holdings
0,Robinson Dept.store
1,Robinson Dept.store
2,Robinson Dept.store
0,Shanghai Fosun Pharma H
1,Shanghai Fosun Pharma H
2,Shanghai Fosun Pharma H
0,The A2 Milk Company
1,The A2 Milk Company
2,The A2 Milk Company
0,Thyssen Krupp
1,Thyssen Krupp
2,Thyssen Krupp
0,Cifi Holdings Group Co
1,Cifi Holdings Group Co
2,Cifi Holdings Group Co
0,Seazen Group
1,Seazen Group
2,Seazen Group
0,Energy Absolute
1,Energy Absolute
2,Energy Absolute
0,Nippon Prologis Reit
1,Nippon Prologis Reit
2,Nippon Prologis Reit
0,Telefonica Deutschland
1,Telefonica Deutschland
2,Telefonica Deutschland
0,Direct Line Ins Grp
1,Direct Line Ins Grp
2,Direct Line Ins Grp
0,Wp Carey
1,Wp Carey
2,Wp Carey
0,Fibra Uno Administracion
1,Fibra Uno Administracion
2,Fibra Uno Administracion
0,Workday A
1,Workday A
2,Workday A
0,Diamondback Energy
1,Diamondback Energy
2,Diamondback Energy
0,Alior Bank
1,Alior Bank
2,Alior Bank
0,Zoetis A
1,Zoetis A
2,Zoetis A
0,Moscow Exchange (rub)
1,Moscow Exchange (rub)
2,Moscow Exchange (rub)
0,Fortress Reit
1,Fortress Reit
2,Fortress Reit
0,News Corp A
1,News Corp A
2,News Corp A
0,Osram Licht
1,Osram Licht
2,Osram Licht
0,Suntory Beverage & Food
1,Suntory Beverage & Food
2,Suntory Beverage & Food
0,Capri Holdings
1,Capri Holdings
2,Capri Holdings
0,Tjx Companies
1,Tjx Companies
2,Tjx Companies
0,China Hongqiao Group
1,China Hongqiao Group
2,China Hongqiao Group
0,Mercury Nz
1,Mercury Nz
2,Mercury Nz
0,Sinopec Eng Group Co H
1,Sinopec Eng Group Co H
2,Sinopec Eng Group Co H
0,Peptidream
1,Peptidream
2,Peptidream
0,China Galaxy Sec H
1,China Galaxy Sec H
2,China Galaxy Sec H
0,Aac Technologies (cn)
1,Aac Technologies (cn)
2,Aac Technologies (cn)
0,Idemitsu Kosan Co
1,Idemitsu Kosan Co
2,Idemitsu Kosan Co
0,Kion Group
1,Kion Group
2,Kion Group
0,Icbc H
1,Icbc H
2,Icbc H
0,Rtl Group(new)
1,Rtl Group(new)
2,Rtl Group(new)
0,Tobu Railway Co
1,Tobu Railway Co
2,Tobu Railway Co
0,Sberbank Russia Com(rub)
1,Sberbank Russia Com(rub)
2,Sberbank Russia Com(rub)
0,Phosagro Gdr
1,Phosagro Gdr
2,Phosagro Gdr
0,Norwegian Cruise Line
1,Norwegian Cruise Line
2,Norwegian Cruise Line
0,Voya Financial
1,Voya Financial
2,Voya Financial
0,Iqvia Holdings
1,Iqvia Holdings
2,Iqvia Holdings
0,Coty A
1,Coty A
2,Coty A
0,Infraestructura Energetica Nova
1,Infraestructura Energetica Nova
2,Infraestructura Energetica Nova
0,Allegion
1,Allegion
2,Allegion
0,Xinyi Solar Hldgs (cn)
1,Xinyi Solar Hldgs (cn)
2,Xinyi Solar Hldgs (cn)
0,Ioi Properties Group
1,Ioi Properties Group
2,Ioi Properties Group
